ticker,nombre,tipo,ops,ops_buy,ops_sell,qty_buy,qty_sell,qty_neta,vol_buy_usd,vol_sell_usd,vol_neto_usd,peso_buy_pct
SPYG,SPYG (State Street SPDR Portfolio S&P 500 Growth ETF),FUND,483,452,31,60.8436,4.1717,56.6719,6208.5203,380.5025,5828.0177,32.1155
BRK-B,BRK-B (Berkshire Hathaway Inc),STOCK,182,182,0,8.4764,0.0,8.4764,4143.568,0.0,4143.568,21.4339
SMH,SMH (VanEck Semiconductor ETF),FUND,300,297,3,9.4569,1.6717,7.7851,3143.2756,352.3358,2790.9398,16.2596
IEMG,IEMG (iShares Core MSCI Emerging Markets ETF),FUND,92,92,0,38.6831,0.0,38.6831,2808.5773,0.0,2808.5773,14.5282
VTI,VTI (Vanguard Morningstar Total Stock Market ETF),FUND,89,89,0,4.3763,0.0,4.3763,1432.1756,0.0,1432.1756,7.4084
SXR8.DE,SXR8.DE (iShares Core S&P 500 UCITS ETF),FUND,82,41,41,1.3247,1.3247,0.0,899.858,925.5332,-25.6753,4.6548
IBIT,IBIT (iShares Bitcoin Trust ETF),FUND,4,2,2,5.0931,5.0931,0.0,250.0,250.4438,-0.4439,1.2932
NU,NU (NU Holdings Ltd/Cayman Islands),STOCK,2,1,1,14.3737,14.3737,0.0,149.9986,150.2673,-0.2688,0.7759
SCHG,SCHG (Schwab U.S. Large-Cap Growth ETF),FUND,2,1,1,1.9818,1.9818,0.0,50.0,50.0,0.0,0.2586
VT,VT (Vanguard Total World Stock ETF),FUND,8,8,0,0.339,0.0,0.339,46.8877,0.0,46.8877,0.2425
ETH,ETH (Ethereum),CRYPTO,28,14,14,0.0174,0.0174,0.0,40.5539,46.3782,-5.8243,0.2098
BLK,BLK (Blackrock Inc),STOCK,9,9,0,0.0314,0.0,0.0314,35.2949,0.0,35.2949,0.1826
ITA,ITA (iShares U.S. Aerospace & Defense ETF),FUND,14,14,0,0.1732,0.0,0.1732,34.4836,0.0,34.4836,0.1784
SCHD,SCHD (Schwab US Dividend Equity ETF),FUND,9,9,0,1.1106,0.0,1.1106,31.4761,0.0,31.4761,0.1628
VOO,VOO (Vanguard S&P 500 ETF),FUND,2,1,1,0.0584,0.0584,0.0,29.9997,29.9868,0.0128,0.1552
COHR,COHR (Coherent Corp),STOCK,20,9,11,0.1132,0.1048,0.0084,13.7691,32.2738,-18.5046,0.0712
MCHI,MCHI (iShares MSCI China ETF),FUND,4,4,0,0.1628,0.0,0.1628,9.8599,0.0,9.8599,0.051
REMX,REMX (VanEck Rare Earth and Strategic Metals ETF),FUND,2,2,0,0.0612,0.0,0.0612,3.5579,0.0,3.5579,0.0184
